"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"CANTIDAD","MODELO","DESCRIPCION","CODIGO","PRECIO COSTO","UTILIDAD","SUBTOTAL","PRECIO VENTA","MARCA","PROVEEDOR","","","","","","","","","","","","","","","",""
"0","BMPH-80-H4-K-P","","","67855.58","0.9","128925.602","145685.93026","DYNAMIC","DYNAMIC","0","0","","","","","","","","","","","","","",""
"2","BMPH Seal Kit","","","16954.08","0.6","27126.528","30652.97664","DYNAMIC","DYNAMIC","33908.16","61305.95328","","","","","","","","","","","","","",""
"0","","","","18023.5","0.8","32442.3","36659.79900000001","","","0","0","","","","","","","","","","","","","",""
"0","","","","18023.5","0.8","32442.3","36659.79900000001","","","0","0","","","","","","","","","","","","","",""
"0","","","","18023.5","0.8","32442.3","36659.79900000001","","","0","0","","","","","","","","","","","","","",""
"0","","","","18023.5","0.8","32442.3","36659.79900000001","","","0","0","","","","","","","","","","","","","",""
"0","","","","18023.5","0.8","32442.3","36659.79900000001","","","0","0","","","","","","","","","","","","","",""
"","","","","","","","","","","0","0","","","","","","","","","","","","","",""
"","BMSY-80 -E2-G-S","MOTOR DE 80CM3(4.92IN3)MONTAJE SAE A, 2H EJE CUÑERO 1 1/4"" PUERTOS 7/8"" 14 SAE (104CL)","SHM-G802H1.250C 14S","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"0","BMSY-125 -E2-G-S","MOTOR DE 125CM3(7.63IN3)MONTAJE SAE A, 2H EJE CUÑERO 1 1/4"" PUERTOS 7/8"" 14 SAE (104CL)","SHM-G1252H1.250C 14S","128884.39","0.8","231991.902","262150.84926","DYNAMIC","DYNAMIC","0","0","","","","","","","","","","","","","",""
"0","BMSY-160 -E2-G-S","MOTOR DE 160CM3(9.69IN3)MONTAJE SAE A, 2H EJE CUÑERO 1 1/4"" PUERTOS 7/8"" 14 SAE (104CL)","SHM-G1602H1.250C 14S","96294.74000000001","1","192589.48","217626.1124","DYNAMIC","DYNAMIC","0","0","","","","","","","","","","","","","",""
"2","BMSY-200 -E2-G-S","MOTOR DE 200CM3(11.84IN3)MONTAJE SAE A, 2H EJE CUÑERO 1 1/4"" PUERTOS 7/8"" 14 SAE (104CL)","SHM-G2002H1.250C 14S","130742.23","1","261484.46","295477.4398","DYNAMIC","DYNAMIC","261484.46","590954.8796","","","","","","","","","","","","","",""
"","BMSY-250-E2-G-S","MOTOR DE 250CM3(15.40IN3)MONTAJE SAE A, 2H EJE CUÑERO 1 1/4"" PUERTOS 7/8"" 14 SAE (104CL)","SHM-G2502H1.250C 14S","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","BMSY-315 -E2-G-S","MOTOR DE 315CM3(19.20IN3)MONTAJE SAE A, 2H EJE CUÑERO 1 1/4"" PUERTOS 7/8"" 14 SAE (104CL)","SHM-G3152H1.250C 14S","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","BMSY-400 -E2-G-S","MOTOR DE 400CM3(24.04IN3)MONTAJE SAE A, 2H EJE CUÑERO 1 1/4"" PUERTOS 7/8"" 14 SAE (104CL)","SHM-G4002H1.250C 14S","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","BMSY-450-E2-G-S","MOTOR DE 450CM3(28.98IN3)MONTAJE SAE A, 2H EJE CUÑERO 1 1/4"" PUERTOS 7/8"" 14 SAE (104CL)","SHM-G4502H1.250C 14S","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"10","KIT BMSY","KIT DE SELLOS PARA MOTOR BMSY EJE 1 1/4""","SHK-BMSY","19579.75","0.8","35243.55","39825.2115","DYNAMICS","DYNAMICS","195797.5","398252.115","","","","","","","","","","","","","",""
