"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"CANTIDAD","MODELO","DESCRIPCION ","CODIGO","PRECIO COSTO","UTILIDAD","SUBTOTAL","PRECIO VENTA","MARCA","PROVEEDOR","","","","","","","","","","","","","","","",""
"1","GP-F25-34-P-C","BOMBA PIÑONES ALUMINIO,EJE 7/8""CUÑ,17.92GPM@2000RPM,2.07IN3/REV(34CM3)3000RPM MAX,3625PSI,SAE 16 IN, SAE 12 OUT,CW","SHB-PA34F25","106680.6","0.8","192025.08","216988.3404","","","106680.6","216988.3404","","","","","","","","","","","","","",""
"1","GP-F25-60-P-C","BOMBA PIÑONES ALUMINIO,EJE 7/8""CUÑ,24.93GPM@1500RPM,3.84IN3/REV(60CM3)200RPM MAX,2900PSI,SAE 16 IN, SAE 12 OUT,CW","SHB-PA60F25","122327.09","0.8","220188.762","248813.30106","","","122327.09","248813.30106","","","","","","","","","","","","","",""
"","922733","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","280372","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","98574","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","359287","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","BOMBA PIÑONES P30","","0","","0","0","","","0","0","","","","","","","","","","","","","",""
"0","391-2883-119N","SELLO DE ALTA PRESIÓN (MOTOR) PARA BOMBA P30","SHB-PA1192883","2601","1","5202","5878.26","INTERNATIONAL","INTERNATIONAL","0","0","","","","","","","","","","","","","",""
"2","391-2585-006N","ANILLO DE BRONCE PARA BOMBA P30","SHB-PA0062585","1387.2","2","4161.6","4702.608","INTERNATIONAL","INTERNATIONAL","2774.4","9405.216","","","","","","","","","","","","","",""
"4","391-0381-906N","ROL INTERNO(BEARING) PARA BOMBA P30","SHB-PA9060381","2601","1","5202","5878.26","INTERNATIONAL","INTERNATIONAL","10404","23513.04","","","","","","","","","","","","","",""
"1","391-2185-913N","ESPEJO PARA BOMBA P30","SHB-PA9132185","6358","0.9","12080.2","13650.626","INTERNATIONAL","INTERNATIONAL","6358","13650.626","","","","","","","","","","","","","",""
"2","319-2884-050N","SELLO PARA HOUSING PARA BOMBA P30","SHB-PA0502884","260.1","2","780.3000000000001","881.739","INTERNATIONAL","INTERNATIONAL","520.2","1763.478","","","","","","","","","","","","","",""
"1","312-2917-740N","SET PIÑON 1 3/4"" EJE CUÑERO 1"" PARA BOMBA P30","SHB-PA7402917","26877","1.5","67192.5","75927.52499999999","INTERNATIONAL","INTERNATIONAL","26877","75927.52499999999","","","","","","","","","","","","","",""
"1","312-5027-201N","TAPA PARA P30, GUIA DE 4"", MONTAJE 2H.","","56169","0.6","89870.39999999999","101553.552","INTERNATIONAL","INTERNATIONAL","56169","101553.552","","","","","","","","","","","","","",""
"1","312-8217-100N","HOUSING 2 1/2""PARA BOMBA P30","SHB-PA1008217","13294","1.5","33235","37555.55","INTERNATIONAL","INTERNATIONAL","13294","37555.55","","","","","","","","","","","","","",""
"0","M3100A","","","249292.4","0.5","373938.6","422550.618","","","0","0","","","","","","","","","","","","","",""
