"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"CANTIDAD","MODELO","DESCRIPCION","CODIGO","PRECIO COSTO","UTILIDAD","SUBTOTAL","PRECIO VENTA","MARCA","PROVEEDOR","COSTO","VENTAS","","","","","","","","","","","","","",""
"3","4-4 BSP ","ADAPTADOR PARA MANÓMETRO 1/4"" NPT HEMBRA x 1/4""-19 BSP HILOS","","6045.23","0.8","10881.414","12295.99782","","","18135.69","36887.99346","","","","","","","","","","","","","",""
"1","TC-BA","ADAPTADOR DE TAPA LIMPIEZA","","3627.14","0.8","6528.852","7377.60276","","","3627.14","7377.60276","","","","","","","","","","","","","",""
"1","GV-4N"," VÁLVULA DE AGUJA,1/ 4 ""MNPT X 1/4"" FNPT, 6000 PSI ACERO DE CARBONO,  SELLO EN VITON, TEFLON DE SEGURIDAD, ASIENTO DURO","","23774.95","0.6","38039.92","42985.1096","","","23774.95","42985.1096","","","","","","","","","","","","","",""
"","","BASES PARA ELECTROVALVULAS ","","","","","","","","0","0","","","","","","","","","","","","","",""
"1","DGSP03N-8E ","BASE PARA ELECTRO-VALVULA CETOP 03","","14984.11","0.95","29219.0145","33017.486385","INTERNATIONAL","INTERNATIONAL","14984.11","33017.486385","","","","","","","","","","","","","",""
"3","DGSP05N-12E","BASE PARA ELECTRO-VALVULA CETOP 05","","18793.63","1.3","43225.349","48844.64437","","","56380.89","146533.93311","","","","","","","","","","","","","",""
"0","","","","6045.23","0.7","10276.891","11612.88683","","","0","0","","","","","","","","","","","","","",""
"","","","","6045.23","0.7","10276.891","11612.88683","","","0","0","","","","","","","","","","","","","",""
"2","9-8097.","Weld-On Filler Breather Riser Flange Adapter","","3936.5","1","7873","8896.49","","","7873","17792.98","","","","","","","","","","","","","",""
"2","9-7844-20","1-1/4"" NPT Stamped Weld-In Tank Flange","","2243.38","1","4486.76","5070.0388","","","4486.76","10140.0776","","","","","","","","","","","","","",""
"0","","","","0","1.3","0","0","","","0","0","","","","","","","","","","","","","",""
"1","","TONILLOS VALVULA DIRECCIONAL CETOP 03 1, VALVULA DIRCCIONAL","","0","1.3","0","0","","","0","0","","","","","","","","","","","","","",""
"0","","","","0","1.3","0","0","","","0","0","","","","","","","","","","","","","",""
"","","MANIFOLD 2 ESTACIONES 05, P O S","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
